pc4,stedelijkheid,third_places_total_ranked,third_places_non_medical_total_ranked,third_places_medical_ranked,third_places_food_beverage_ranked,third_places_retail_ranked,third_places_community_ranked,third_places_cultural_ranked,third_places_sport_leisure_ranked,third_places_non_medical_non_retail_total_ranked,third_places_total_ranked_by_urbanisation,third_places_non_medical_total_ranked_by_urbanisation,third_places_medical_ranked_by_urbanisation,third_places_food_beverage_ranked_by_urbanisation,third_places_retail_ranked_by_urbanisation,third_places_community_ranked_by_urbanisation,third_places_cultural_ranked_by_urbanisation,third_places_sport_leisure_ranked_by_urbanisation,third_places_non_medical_non_retail_total_ranked_by_urbanisation
1184,4,22.112292851842692,22.165904314501176,22.780257936507937,54.539542143600414,16.208411801632142,8.424861093164491,19.132917964693664,15.32399299474606,26.06270913372165,6.25,6.902985074626866,6.2558356676003735,38.761904761904766,5.130597014925374,3.018867924528302,7.867298578199051,4.672897196261682,9.60820895522388
1405,2,57.40786544645066,50.006181233774264,66.48065476190477,34.65140478668054,49.792843691148775,41.62036438816384,53.81619937694704,56.12959719789843,49.7459412566613,17.51592356687898,12.340764331210192,28.105095541401276,8.08,13.614649681528663,15.495207667731629,19.39345570630487,21.019108280254777,12.420382165605096
1411,4,95.30051941627504,94.73358882432935,95.20089285714286,91.84443288241415,92.06528562460767,91.78188396433647,94.31464174454828,97.94846134600951,96.30685338951544,99.6268656716418,98.78731343283582,99.6265172735761,97.52380952380952,93.84328358208955,83.77358490566039,99.0521327014218,99.81308411214953,99.44029850746269
1695,2,56.39376700469948,61.55272592409445,51.822916666666664,38.943808532778355,61.25549278091651,45.600206745057505,67.04309449636553,72.72954716037027,62.089478250092945,14.968152866242038,26.990445859872615,8.75796178343949,10.16,27.945859872611468,19.329073482428115,38.467677573822826,49.52229299363057,27.86624203821656
1861,3,89.15409349492951,89.83805167511434,87.58680555555556,90.99895941727367,92.31638418079096,63.98759529654994,92.71806853582555,78.10858143607706,86.21886231255422,83.1877729257642,82.96943231441048,83.29694323144105,89.59025470653378,84.60698689956332,46.22124863088718,95.48458149779736,66.37554585152839,80.24017467248909
1974,2,50.98936433341578,53.35640993942391,49.057539682539684,38.943808532778355,62.209667294413066,27.510014213722705,38.68120456905504,52.7395546659995,44.35493865410832,9.554140127388536,15.127388535031846,6.8471337579617835,10.16,29.219745222929937,5.5910543130990416,7.182761372705507,16.24203821656051,8.519108280254777
2202,2,91.55330200346278,95.25281246136728,80.65476190476191,97.35952133194588,93.38355304457,53.223930740405734,83.25545171339563,96.45984488366275,96.17052918577271,85.35031847133759,92.03821656050955,58.996815286624205,97.2,87.73885350318471,28.27476038338658,71.66799680766161,95.54140127388536,95.70063694267516
2221,2,76.56443235221371,75.57176412411918,79.41468253968253,69.52393340270552,79.29692404268675,75.41025972347849,67.04309449636553,74.64348261195897,71.86764159127526,51.990445859872615,52.30891719745223,56.847133757961785,44.96,58.67834394904459,60.063897763578275,38.467677573822826,52.86624203821656,46.57643312101911
2275,1,66.79445955973287,58.227222153541845,76.62450396825396,56.971904266389174,54.55116133082235,37.49838480423827,62.149532710280376,71.16587440580435,62.089478250092945,13.646532438478747,9.284116331096197,22.14765100671141,9.619686800894854,9.731543624161073,7.950727883538635,10.290827740492169,26.39821029082774,10.738255033557047
2511,1,98.44175117487015,99.10990233650637,81.47321428571429,99.66181061394381,98.8449466415568,98.15221604858509,97.58566978193146,82.11158368776582,99.09530301152559,86.80089485458613,92.17002237136465,33.78076062639821,97.0917225950783,90.71588366890381,92.83314669652856,80.08948545861297,42.05816554809844,91.834451901566
2512,1,99.38164729161514,99.2335270119916,99.28075396825396,99.18054110301769,98.71939736346516,98.87582374983847,99.66251298027,98.29872404303227,99.33077209071756,94.63087248322147,93.28859060402685,95.07829977628636,92.9530201342282,89.93288590604027,94.40089585666294,97.0917225950783,87.47203579418344,93.95973154362416
2542,1,86.65594855305466,73.80393126468043,95.2876984126984,83.01248699271592,81.09227871939736,60.731360640909685,38.68120456905504,60.08256192144108,64.92750030982774,49.44071588366891,25.95078299776286,73.37807606263982,39.038031319910516,49.55257270693512,32.026875699888016,2.237136465324385,11.856823266219239,13.31096196868009
2551,1,78.3329210981944,74.70639139572258,84.41220238095238,68.02809573361083,78.81983678593848,27.510014213722705,70.83333333333334,80.39779834876157,70.71508241417772,28.635346756152124,27.069351230425053,41.946308724832214,17.67337807606264,43.624161073825505,2.799552071668533,15.659955257270694,38.92617449664429,19.12751677852349
2566,1,82.93346524857779,77.83409568549882,89.12450396825396,70.99375650364203,72.04017576898933,71.48210363096007,83.25545171339563,90.3177383037278,83.00904696988475,39.70917225950783,34.675615212527966,53.13199105145414,21.252796420581653,32.32662192393736,47.704367301231805,32.662192393736014,62.86353467561522,38.59060402684564
2591,1,72.14939401434577,65.02657930522932,81.0391865079365,45.850676378772114,57.77777777777777,49.5154412714821,86.03322949117342,76.65749311983988,70.71508241417772,19.910514541387027,14.876957494407158,32.662192393736014,4.250559284116331,12.751677852348994,18.81298992161254,36.12975391498882,34.34004474272931,19.12751677852349
2642,2,64.3828839970319,58.89479540116207,71.09375,29.812695109261185,58.34274952919021,60.731360640909685,59.51453790238836,70.19014260695522,60.0074358656587,26.671974522292995,21.97452229299363,38.455414012738856,6.08,24.044585987261147,37.85942492012779,27.37430167597765,44.18789808917197,23.88535031847134
