postcode,geometry,pc4,stedelijkheid,third_places_total_ranked,third_places_non_medical_total_ranked,third_places_medical_ranked,third_places_food_beverage_ranked,third_places_retail_ranked,third_places_community_ranked,third_places_cultural_ranked,third_places_sport_leisure_ranked,third_places_non_medical_non_retail_total_ranked,third_places_total_ranked_by_urbanisation,third_places_non_medical_total_ranked_by_urbanisation,third_places_medical_ranked_by_urbanisation,third_places_food_beverage_ranked_by_urbanisation,third_places_retail_ranked_by_urbanisation,third_places_community_ranked_by_urbanisation,third_places_cultural_ranked_by_urbanisation,third_places_sport_leisure_ranked_by_urbanisation,third_places_non_medical_non_retail_total_ranked_by_urbanisation
1184,"POLYGON ((121295 478995, 121035 478883, 120950 478731, 120360 478872, 120435 478681, 120652 478539, 120766 478341, 120439 477953, 120703 477628, 120615 477389, 120269 476900, 120282 476797, 120340 476984, 120688 477445, 120813 477745, 121031 477802, 120879 478033, 121138 478280, 121166 478595, 121283 478697, 121764 478745, 121839 478902, 121679 479117, 121741 479335, 122192 479857, 122029 480006, 121652 479948, 121147 479086, 121295 478995))",1184,4,22.112292851842692,22.165904314501176,22.780257936507937,54.539542143600414,16.208411801632142,8.424861093164491,19.132917964693664,15.32399299474606,26.06270913372165,6.25,6.902985074626866,6.2558356676003735,38.761904761904766,5.130597014925374,3.018867924528302,7.867298578199051,4.672897196261682,9.60820895522388
1405,"POLYGON ((139183 477105, 139138 477143, 138868 477018, 138634 476774, 138415 476865, 138590 477240, 138312 477459, 138243 477180, 137921 476762, 137813 476705, 137898 476578, 138397 476282, 138394 476122, 138891 476193, 139477 476192, 139347 476803, 139235 477148, 139207 477143, 139185 477099, 139183 477099, 139183 477105))",1405,2,57.40786544645066,50.006181233774264,66.48065476190477,34.65140478668054,49.792843691148775,41.62036438816384,53.81619937694704,56.12959719789843,49.7459412566613,17.51592356687898,12.340764331210192,28.105095541401276,8.08,13.614649681528665,15.495207667731629,19.39345570630487,21.019108280254777,12.420382165605096
1411,"POLYGON ((138165 479490, 138165 479486, 138084 479488, 138412 478838, 138560 478404, 138854 478027, 139270 477762, 139534 477703, 140367 477788, 140744 477331, 141206 476738, 141541 476807, 141885 477009, 141861 477293, 141702 477384, 141941 477573, 141906 477876, 141464 478275, 141577 478402, 141925 478568, 141948 479048, 142080 479168, 142469 479091, 143033 479139, 143195 478959, 143546 479024, 144023 479231, 144249 479325, 144302 479776, 144176 480378, 142028 480126, 141360 479959, 140973 479713, 140429 479583, 139884 479688, 139607 479852, 139002 480456, 138819 480260, 138581 480179, 138391 480351, 138604 480544, 138683 480763, 138017 481887, 138094 481949, 138067 481982, 138053 482000, 138033 482025, 137955 481961, 137701 482220, 137400 481948, 136272 480796, 136966 480376, 136863 480283, 137186 480049, 137550 479864, 137833 479791, 138076 479506, 138165 479490))",1411,4,95.30051941627504,94.73358882432936,95.20089285714286,91.84443288241415,92.06528562460768,91.78188396433649,94.31464174454828,97.94846134600952,96.30685338951544,99.6268656716418,98.78731343283582,99.6265172735761,97.52380952380952,93.84328358208955,83.77358490566039,99.0521327014218,99.81308411214953,99.44029850746269
1695,"MULTIPOLYGON (((136878 518220, 136656 518571, 136564 518513, 136439 518717, 136290 518839, 136563 518514, 136564 518513, 136566 518513, 136656 518569, 136876 518221, 136194 517943, 135325 517648, 135694 517772, 136719 518090, 136878 518220)), ((133948 518748, 134307 518954, 134809 519002, 135110 519152, 135304 519144, 135549 519344, 135738 519049, 136082 519175, 136127 519303, 136013 519557, 135849 519640, 135487 520036, 135344 520366, 133703 519434, 133561 519249, 133832 518909, 133457 518631, 133610 518533, 133767 518469, 133948 518748)))",1695,2,56.39376700469948,61.55272592409445,51.822916666666664,38.943808532778355,61.25549278091651,45.600206745057505,67.04309449636553,72.72954716037027,62.089478250092945,14.968152866242038,26.990445859872615,8.75796178343949,10.16,27.945859872611468,19.329073482428115,38.467677573822826,49.52229299363057,27.86624203821656
1861,"MULTIPOLYGON (((107951 519129, 107775 519413, 107370 519303, 107175 518909, 107628 518598, 107710 518144, 108213 518452, 108641 518451, 108626 518324, 108397 518224, 108356 517437, 108372 517351, 108527 517370, 108657 517372, 108917 517355, 108958 517372, 109166 517434, 109220 517449, 109267 517457, 109352 517460, 109448 517470, 109358 517848, 109429 517860, 109546 517877, 109581 517882, 109591 517881, 109600 517884, 109683 517894, 109650 518224, 109316 518527, 109098 518786, 108679 518924, 108684 519342, 108189 519308, 107951 519129)), ((108437 518338, 108213 518452, 107710 518144, 107628 518598, 107175 518909, 107370 519303, 107775 519413, 107951 519129, 108189 519308, 108388 519350, 108684 519342, 108679 518924, 109098 518786, 109272 518655, 109546 519187, 109591 519432, 109176 519792, 109177 520053, 109330 520065, 109377 520252, 109073 520254, 108769 520595, 108763 520993, 108345 521730, 108556 521943, 108401 521872, 104880 521348, 104760 520254, 104879 520166, 104733 519666, 105120 519643, 105558 519894, 105757 519561, 105542 519438, 105117 519633, 104702 519655, 104450 517233, 105735 517272, 106445 517527, 106553 517509, 107009 517698, 107232 517433, 107889 517193, 108145 517321, 108371 517353, 108356 517437, 108397 518224, 108437 518338), (108467 521056, 108468 521056, 108468 521054, 108467 521056)))",1861,3,89.15409349492951,89.83805167511434,87.58680555555556,90.99895941727368,92.31638418079096,63.98759529654994,92.71806853582557,78.10858143607706,86.21886231255422,83.1877729257642,82.96943231441048,83.29694323144105,89.59025470653378,84.60698689956332,46.22124863088718,95.48458149779736,66.37554585152839,80.24017467248909
1974,"POLYGON ((101401 495720, 101565 495782, 101728 496062, 101080 496485, 100804 496415, 99748 496458, 99729 496190, 99890 495995, 99534 495829, 99415 496050, 99262 495976, 98967 494748, 100455 494413, 100534 494634, 100803 494676, 100963 494505, 101191 494466, 101321 494578, 101376 494898, 101461 494957, 101398 495305, 101200 495512, 101300 495620, 101401 495720))",1974,2,50.98936433341578,53.35640993942391,49.05753968253968,38.943808532778355,62.209667294413066,27.510014213722705,38.68120456905504,52.7395546659995,44.35493865410832,9.554140127388536,15.127388535031846,6.8471337579617835,10.16,29.219745222929937,5.5910543130990416,7.182761372705507,16.24203821656051,8.519108280254777
2202,"MULTIPOLYGON (((91103 473747, 91191 473492, 91345 473331, 91460 473445, 91189 473808, 91103 473747)), ((91103 473747, 90984 473911, 90569 474122, 90695 474454, 90584 474746, 90888 475088, 91116 475131, 91321 475381, 91213 475577, 90943 475587, 90717 475682, 89950 474401, 88812 472184, 87914 470636, 88549 470229, 89291 471566, 89669 471839, 89628 472108, 89965 472461, 90110 472692, 90386 472840, 90403 473165, 90488 473453, 90665 473350, 91103 473747)), ((89506 473051, 89520 473086, 89516 473082, 89506 473051)))",2202,2,91.55330200346278,95.25281246136728,80.65476190476191,97.35952133194588,93.38355304457,53.223930740405734,83.25545171339563,96.45984488366275,96.17052918577272,85.35031847133759,92.03821656050955,58.996815286624205,97.2,87.73885350318471,28.27476038338658,71.66799680766161,95.54140127388536,95.70063694267516
2221,"MULTIPOLYGON (((89284 468838, 89396 468822, 89583 469057, 89953 469414, 90052 469657, 89943 469609, 89805 469919, 89503 469803, 89314 470146, 88852 470029, 88549 470229, 87914 470636, 87519 470099, 87406 469837, 87539 469658, 87807 469383, 88157 469179, 88823 468824, 89147 468569, 89383 468809, 89288 468835, 89284 468838), (88690 469191, 88692 469199, 88691 469194, 88691 469192, 88692 469191, 88690 469191), (88663 469058, 88667 469057, 88665 469057, 88663 469058)), ((88690 469191, 88691 469192, 88691 469194, 88690 469195, 88690 469191)))",2221,2,76.56443235221371,75.57176412411918,79.41468253968253,69.52393340270552,79.29692404268675,75.41025972347849,67.04309449636553,74.64348261195897,71.86764159127526,51.990445859872615,52.30891719745223,56.847133757961785,44.96,58.67834394904459,60.063897763578275,38.467677573822826,52.86624203821656,46.57643312101911
2275,"POLYGON ((84662 453574, 84321 453887, 84225 453824, 83751 453336, 83337 453053, 83644 452599, 83633 452438, 84026 452849, 84293 453078, 84760 453367, 84843 453466, 84847 453469, 84662 453574))",2275,1,66.79445955973287,58.227222153541845,76.62450396825396,56.971904266389174,54.55116133082235,37.49838480423827,62.149532710280376,71.16587440580435,62.089478250092945,13.646532438478747,9.284116331096197,22.14765100671141,9.619686800894854,9.731543624161072,7.950727883538635,10.290827740492167,26.39821029082774,10.738255033557047
2511,"MULTIPOLYGON (((81274 454797, 81422 454837, 81819 454620, 81947 454612, 82213 454881, 81954 455194, 81971 455281, 81949 455303, 81853 455319, 81851 455322, 81774 455423, 81697 455549, 81693 455552, 81378 455348, 81478 455106, 81034 454909, 80973 454810, 81024 454648, 81027 454646, 81059 454638, 81274 454797)), ((81999 455274, 82072 455234, 81968 455379, 81975 455367, 81999 455274)))",2511,1,98.44175117487016,99.10990233650637,81.47321428571429,99.6618106139438,98.8449466415568,98.15221604858507,97.58566978193146,82.11158368776582,99.0953030115256,86.80089485458613,92.17002237136464,33.78076062639821,97.0917225950783,90.7158836689038,92.83314669652856,80.08948545861297,42.05816554809844,91.834451901566
