code,name,classification,,,,,,,,,,,
01 ,"Landbouw, jacht en dienstverlening voor de landbouw en jacht ",0,,,,,,,,,,,
11,Teelt van eenjarige gewassen,0,,,,,,,,,,,
111,"Teelt van granen, peulvruchten en oliehoudende zaden",0,,,,,,,,,,,
113,Teelt van groenten en wortel- en knolgewassen,0,,,,,,,,,,,
1131,Teelt van groenten in de volle grond,0,,,,,,,,,,,
1132,Teelt van groenten onder glas,0,,,,,,,,,,,
1133,Teelt van paddenstoelen,0,,,,,,,,,,,
1134,Teelt van aardappels en overige wortel- en knolgewassen,0,,,,,,,,,,,
116,Teelt van vezelgewassen,0,,,,,,,,,,,
119,Teelt van overige eenjarige gewassen,0,,,,,,,,,,,
1191,Teelt van snijbloemen en snijheesters in de volle grond,0,,,,,,,,,,,
1192,Teelt van snijbloemen en snijheesters onder glas,0,,,,,,,,,,,
1193,Teelt van voedergewassen,0,,,,,,,,,,,
1199,Teelt van overige eenjarige gewassen (rest),0,,,,,,,,,,,
12,Teelt van meerjarige gewassen,0,,,,,,,,,,,
121,Druiventeelt,0,,,,,,,,,,,
124,Teelt van hardfruit en steenvruchten,0,,,,,,,,,,,
1241,Teelt van appels en peren,0,,,,,,,,,,,
1242,Teelt van steenvruchten,0,,,,,,,,,,,
125,"Teelt van overige boomvruchten, kleinfruit en noten",0,,,,,,,,,,,
1251,Teelt van aardbeien in de volle grond,0,,,,,,,,,,,
1252,Teelt van aardbeien onder glas,0,,,,,,,,,,,
1253,Teelt van houtig kleinfruit in de volle grond (incl. overige boomvruchten en noten),0,,,,,,,,,,,
1254,Teelt van houtig kleinfruit onder glas,0,,,,,,,,,,,
127,Teelt van gewassen bestemd voor de vervaardiging van dranken,0,,,,,,,,,,,
128,Teelt van specerijgewassen en van aromatische en medicinale gewassen,0,,,,,,,,,,,
129,Teelt van overige meerjarige gewassen,0,,,,,,,,,,,
013 ,Teelt van sierplanten,0,,,,,,,,,,,
130,Teelt van sierplanten,0,,,,,,,,,,,
1301,Teelt van bloembollen,0,,,,,,,,,,,
1302,Teelt van perkplanten in de volle grond,0,,,,,,,,,,,
1303,Teelt van perkplanten onder glas,0,,,,,,,,,,,
1304,Teelt van potplanten onder glas             ,0,,,,,,,,,,,
1305,Teelt van boomkwekerijgewassen in de volle grond,0,,,,,,,,,,,
1309,Teelt van overige sierplanten in de volle grond,0,,,,,,,,,,,
14,Fokken en houden van dieren,0,,,,,,,,,,,
141,Fokken en houden van melkvee,0,,,,,,,,,,,
1411,Houden van melkvee,0,,,,,,,,,,,
1412,Opfokken van jongvee voor de melkveehouderij,0,,,,,,,,,,,
142,Fokken en houden van runderen (geen melkvee),0,,,,,,,,,,,
1421,Houden van vleeskalveren,0,,,,,,,,,,,
1422,Overige vleesveehouderij en zoogkoeienbedrijven,0,,,,,,,,,,,
143,Fokken en houden van paarden en ezels,0,,,,,,,,,,,
145,Fokken en houden van schapen en geiten,0,,,,,,,,,,,
1451,Fokken en houden van schapen,0,,,,,,,,,,,
1452,Fokken en houden van geiten                                                                                                                                                                                                                                        ,0,,,,,,,,,,,
146,Fokken en houden van varkens,0,,,,,,,,,,,
1461,Fokvarkens- en vermeerderingsbedrijven,0,,,,,,,,,,,
1462,Vleesvarkensbedrijven,0,,,,,,,,,,,
1463,Gesloten en deels gesloten varkensbedrijven,0,,,,,,,,,,,
147,Opfokken en/of houden van pluimvee,0,,,,,,,,,,,
1471,Opfokken en/of houden van  leghennen,0,,,,,,,,,,,
1472,Opfokken en/of houden van vleeskuikens ,0,,,,,,,,,,,
1473,Opfokken en/of houden van ouderdieren van leghennen en vleeskuikens,0,,,,,,,,,,,
1479,Opfokken en/of houden van overig pluimvee,0,,,,,,,,,,,
149,Fokken en houden van overige dieren,0,,,,,,,,,,,
1491,Fokken en houden van edelpelsdieren,0,,,,,,,,,,,
1499,Fokken en houden van overige dieren (rest),0,,,,,,,,,,,
015 ,Akker- en/of tuinbouw in combinatie met het fokken en houden van dieren ,0,,,,,,,,,,,
150,Akker- en/of tuinbouw in combinatie met het fokken en houden van dieren ,0,,,,,,,,,,,
16,Dienstverlening voor de landbouw; behandeling van gewassen en zaden na de oogst,0,,,,,,,,,,,
161,Dienstverlening voor de akker- en/of tuinbouw ,0,,,,,,,,,,,
162,Dienstverlening voor het fokken en houden van dieren ,0,,,,,,,,,,,
163,Behandeling van gewassen na de oogst,0,,,,,,,,,,,
164,Behandeling van zaden voor vermeerdering,0,,,,,,,,,,,
17,Jacht,0,,,,,,,,,,,
170,Jacht,0,,,,,,,,,,,
2,"Bosbouw, exploitatie van bossen en dienstverlening voor de bosbouw",0,,,,,,,,,,,
21,Bosbouw,0,,,,,,,,,,,
210,Bosbouw,0,,,,,,,,,,,
22,Exploitatie van bossen,0,,,,,,,,,,,
220,Exploitatie van bossen,0,,,,,,,,,,,
24,Dienstverlening voor de bosbouw,0,,,,,,,,,,,
240,Dienstverlening voor de bosbouw,0,,,,,,,,,,,
03 ,Visserij en kweken van vis en schaaldieren ,0,,,,,,,,,,,
031 ,Visserij,0,,,,,,,,,,,
311,Zee- en kustvisserij,0,,,,,,,,,,,
312,Binnenvisserij,0,,,,,,,,,,,
032 ,Kweken van vis en schaaldieren ,0,,,,,,,,,,,
321,Kweken van zeevis en -schaaldieren,0,,,,,,,,,,,
322,Kweken van zoetwatervis en -schaaldieren,0,,,,,,,,,,,
B,Winning van delfstoffen ,0,,,,,,,,,,,
6,Winning van aardolie en aardgas,0,,,,,,,,,,,
61,Winning van aardolie,0,,,,,,,,,,,
610,Winning van aardolie,0,,,,,,,,,,,
62,Winning van aardgas,0,,,,,,,,,,,
620,Winning van aardgas,0,,,,,,,,,,,
8,Winning van delfstoffen (geen olie en gas),0,,,,,,,,,,,
81,"Winning van zand, grind en klei",0,,,,,,,,,,,
812,"Winning van zand, grind en klei",0,,,,,,,,,,,
089 ,Winning van overige delfstoffen,0,,,,,,,,,,,
892,Winning van turf ,0,,,,,,,,,,,
893,Winning van zout,0,,,,,,,,,,,
899,Winning van overige delfstoffen (rest),0,,,,,,,,,,,
9,Dienstverlening voor de winning van delfstoffen ,0,,,,,,,,,,,
91,Dienstverlening voor de winning van aardolie en aardgas,0,,,,,,,,,,,
910,Dienstverlening voor de winning van aardolie en aardgas,0,,,,,,,,,,,
099 ,Dienstverlening voor de winning van delfstoffen (geen olie en gas),0,,,,,,,,,,,
990,Dienstverlening voor de winning van delfstoffen (geen olie en gas),0,,,,,,,,,,,
 C,Industrie,0,,,,,,,,,,,
10,Vervaardiging van voedingsmiddelen,0,,,,,,,,,,,
101 ,Slachterijen en vleesverwerking,0,,,,,,,,,,,
1011,Slachterijen (geen pluimvee-),0,,,,,,,,,,,
1012,Pluimveeslachterijen,0,,,,,,,,,,,
1013,Vleesverwerking (niet tot maaltijden),0,,,,,,,,,,,
102,Visverwerking,0,,,,,,,,,,,
1020,Visverwerking,0,,,,,,,,,,,
103,"Verwerking van aardappels, groente en fruit",0,,,,,,,,,,,
1031,Vervaardiging van aardappelproducten,0,,,,,,,,,,,
1032,Vervaardiging van fruit- en groentesap,0,,,,,,,,,,,
1039,Verwerking van groente en fruit (niet tot sap en maaltijden),0,,,,,,,,,,,
104,Vervaardiging van plantaardige en dierlijke oliën en vetten ,0,,,,,,,,,,,
1041,Vervaardiging van plantaardige en dierlijke oliën en vetten (geen margarine en andere spijsvetten),0,,,,,,,,,,,
1042,Vervaardiging van margarine en overige spijsvetten,0,,,,,,,,,,,
105 ,Vervaardiging van zuivelproducten,0,,,,,,,,,,,
1051,Vervaardiging van zuivelproducten (geen consumptie-ijs),0,,,,,,,,,,,
1052,Vervaardiging van consumptie-ijs,0,,,,,,,,,,,
106,Vervaardiging van meel,0,,,,,,,,,,,
1061,Vervaardiging van meel (geen zetmeel),0,,,,,,,,,,,
1062,Vervaardiging van zetmeel en zetmeelproducten,0,,,,,,,,,,,
107,"Vervaardiging van brood, banketbakkerswerk en deegwaren",0,,,,,,,,,,,
1071,Vervaardiging van brood en vers banketbakkerswerk,0,,,,,,,,,,,
1072,Vervaardiging van beschuit en koekjes en ander houdbaar banketbakkerswerk,0,,,,,,,,,,,
1073,Vervaardiging van deegwaren,0,,,,,,,,,,,
108 ,Vervaardiging van overige voedingsmiddelen,0,,,,,,,,,,,
1081,Vervaardiging van suiker,0,,,,,,,,,,,
1082,Verwerking van cacao en vervaardiging van chocolade en suikerwerk,0,,,,,,,,,,,
10821,Verwerking van cacao,0,,,,,,,,,,,
10822,Vervaardiging van chocolade en suikerwerk,0,,,,,,,,,,,
1083,Verwerking van koffie en thee,0,,,,,,,,,,,
1084,"Vervaardiging van specerijen, sauzen en kruiderijen; zoutraffinage",0,,,,,,,,,,,
1085,Vervaardiging van kant-en-klaarmaaltijden en snacks,0,,,,,,,,,,,
1086,Vervaardiging van gehomogeniseerde voedingspreparaten en dieetvoeding,0,,,,,,,,,,,
1089,Vervaardiging van overige voedingsmiddelen (rest),0,,,,,,,,,,,
109,Vervaardiging van diervoeders,0,,,,,,,,,,,
1091,Vervaardiging van veevoeders,0,,,,,,,,,,,
1092,Vervaardiging van voeders voor huisdieren,0,,,,,,,,,,,
11 ,Vervaardiging van dranken,0,,,,,,,,,,,
110,Vervaardiging van dranken,0,,,,,,,,,,,
1101,"Vervaardiging van sterk alcoholische dranken door distilleren, rectificeren en mengen",0,,,,,,,,,,,
1102,Vervaardiging van wijn uit druiven,0,,,,,,,,,,,
1103,Vervaardiging van cider en van overige vruchtenwijnen,0,,,,,,,,,,,
1104,Vervaardiging van overige niet-gedistilleerde gegiste dranken,0,,,,,,,,,,,
1105,Vervaardiging van bier,0,,,,,,,,,,,
